,lake,model,scenario,nbr_forcing_data,forcing_data_empty,hyspometry,daily_obs,init,input,par,calibration
161,Falling_Creek,IPSL-CM5A-LR,rcp85,6,6,Does not exist,Does not exist,,,,Does not exist
162,Falling_Creek,MIROC5,historical,6,6,Does not exist,Does not exist,,,,Does not exist
163,Falling_Creek,MIROC5,piControl,6,6,Does not exist,Does not exist,,,,Does not exist
164,Falling_Creek,MIROC5,rcp26,6,6,Does not exist,Does not exist,,,,Does not exist
165,Falling_Creek,MIROC5,rcp60,6,6,Does not exist,Does not exist,,,,Does not exist
166,Falling_Creek,MIROC5,rcp85,6,6,Does not exist,Does not exist,,,,Does not exist
167,Falling_Creek,EWEMBI,historical,6,0,Does not exist,Does not exist,,,,Does not exist
168,Fish_Lake,GFDL-ESM2M,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
169,Fish_Lake,GFDL-ESM2M,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
170,Fish_Lake,GFDL-ESM2M,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
171,Fish_Lake,GFDL-ESM2M,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
172,Fish_Lake,GFDL-ESM2M,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
173,Fish_Lake,HadGEM2-ES,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
174,Fish_Lake,HadGEM2-ES,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
175,Fish_Lake,HadGEM2-ES,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
176,Fish_Lake,HadGEM2-ES,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
177,Fish_Lake,HadGEM2-ES,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
178,Fish_Lake,IPSL-CM5A-LR,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
179,Fish_Lake,IPSL-CM5A-LR,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
180,Fish_Lake,IPSL-CM5A-LR,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
181,Fish_Lake,IPSL-CM5A-LR,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
182,Fish_Lake,IPSL-CM5A-LR,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
183,Fish_Lake,MIROC5,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
184,Fish_Lake,MIROC5,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
185,Fish_Lake,MIROC5,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
186,Fish_Lake,MIROC5,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
187,Fish_Lake,MIROC5,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
188,Fish_Lake,EWEMBI,historical,6,0,Exist,Exist,Exist,Exist,Exist,Exist
189,Great_Pond,GFDL-ESM2M,historical,6,0,Does not exist,Does not exist,,,,Does not exist
190,Great_Pond,GFDL-ESM2M,piControl,6,0,Does not exist,Does not exist,,,,Does not exist
191,Great_Pond,GFDL-ESM2M,rcp26,6,0,Does not exist,Does not exist,,,,Does not exist
192,Great_Pond,GFDL-ESM2M,rcp60,6,0,Does not exist,Does not exist,,,,Does not exist
193,Great_Pond,GFDL-ESM2M,rcp85,6,0,Does not exist,Does not exist,,,,Does not exist
194,Great_Pond,HadGEM2-ES,historical,6,0,Does not exist,Does not exist,,,,Does not exist
195,Great_Pond,HadGEM2-ES,piControl,6,0,Does not exist,Does not exist,,,,Does not exist
196,Great_Pond,HadGEM2-ES,rcp26,6,0,Does not exist,Does not exist,,,,Does not exist
197,Great_Pond,HadGEM2-ES,rcp60,6,0,Does not exist,Does not exist,,,,Does not exist
198,Great_Pond,HadGEM2-ES,rcp85,6,0,Does not exist,Does not exist,,,,Does not exist
199,Great_Pond,IPSL-CM5A-LR,historical,6,0,Does not exist,Does not exist,,,,Does not exist
200,Great_Pond,IPSL-CM5A-LR,piControl,6,0,Does not exist,Does not exist,,,,Does not exist
201,Great_Pond,IPSL-CM5A-LR,rcp26,6,0,Does not exist,Does not exist,,,,Does not exist
202,Great_Pond,IPSL-CM5A-LR,rcp60,6,0,Does not exist,Does not exist,,,,Does not exist
203,Great_Pond,IPSL-CM5A-LR,rcp85,6,0,Does not exist,Does not exist,,,,Does not exist
204,Great_Pond,MIROC5,historical,6,0,Does not exist,Does not exist,,,,Does not exist
205,Great_Pond,MIROC5,piControl,6,0,Does not exist,Does not exist,,,,Does not exist
206,Great_Pond,MIROC5,rcp26,6,0,Does not exist,Does not exist,,,,Does not exist
207,Great_Pond,MIROC5,rcp60,6,0,Does not exist,Does not exist,,,,Does not exist
208,Great_Pond,MIROC5,rcp85,6,0,Does not exist,Does not exist,,,,Does not exist
209,Great_Pond,EWEMBI,historical,6,0,Does not exist,Does not exist,,,,Does not exist
210,Green_lake,GFDL-ESM2M,historical,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
211,Green_lake,GFDL-ESM2M,piControl,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
212,Green_lake,GFDL-ESM2M,rcp26,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
213,Green_lake,GFDL-ESM2M,rcp60,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
214,Green_lake,GFDL-ESM2M,rcp85,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
215,Green_lake,HadGEM2-ES,historical,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
216,Green_lake,HadGEM2-ES,piControl,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
217,Green_lake,HadGEM2-ES,rcp26,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
218,Green_lake,HadGEM2-ES,rcp60,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
219,Green_lake,HadGEM2-ES,rcp85,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
220,Green_lake,IPSL-CM5A-LR,historical,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
221,Green_lake,IPSL-CM5A-LR,piControl,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
222,Green_lake,IPSL-CM5A-LR,rcp26,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
223,Green_lake,IPSL-CM5A-LR,rcp60,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
224,Green_lake,IPSL-CM5A-LR,rcp85,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
225,Green_lake,MIROC5,historical,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
226,Green_lake,MIROC5,piControl,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
227,Green_lake,MIROC5,rcp26,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
228,Green_lake,MIROC5,rcp60,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
229,Green_lake,MIROC5,rcp85,6,6,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
230,Green_lake,EWEMBI,historical,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
231,Laramie_Lake,GFDL-ESM2M,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
232,Laramie_Lake,GFDL-ESM2M,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
233,Laramie_Lake,GFDL-ESM2M,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
234,Laramie_Lake,GFDL-ESM2M,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
235,Laramie_Lake,GFDL-ESM2M,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
236,Laramie_Lake,HadGEM2-ES,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
237,Laramie_Lake,HadGEM2-ES,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
238,Laramie_Lake,HadGEM2-ES,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
239,Laramie_Lake,HadGEM2-ES,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
240,Laramie_Lake,HadGEM2-ES,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
241,Laramie_Lake,IPSL-CM5A-LR,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
242,Laramie_Lake,IPSL-CM5A-LR,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
243,Laramie_Lake,IPSL-CM5A-LR,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
244,Laramie_Lake,IPSL-CM5A-LR,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
245,Laramie_Lake,IPSL-CM5A-LR,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
246,Laramie_Lake,MIROC5,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Does not exist
